dish_id,caption,image_path,calories,protein,fat,carbs,cleaned_caption
dish_1561662216,"This plate contains 3.4g soy sauce, 2.1g garlic, 8.5g white rice, 0.2g parsley, 1.7g onions, 68.0g brown rice, 0.9g vinegar, 4.3g apple, 21.3g mixed greens, 6.4g sugar, 0.5g salt, 0.9g lemon juice, 3.2g olive oil, 59.5g pork, 8.5g bok choy, 0.2g pepper, and 3.4g millet. It provides approximately 300.8 kcal, 18.6g protein, 12.4g fat, and 28.2g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1561662216/rgb.png,300.8,18.6,12.4,28.2,"This plate contains 3.4g soy sauce, 2.1g garlic, 8.5g white rice, 0.2g parsley, 1.7g onions, 68.0g brown rice, 0.9g vinegar, 4.3g apple, 21.3g mixed greens, , , 0.9g lemon juice, 3.2g olive oil, 59.5g pork, 8.5g bok choy, 0.2g pepper, and 3.4g millet."
dish_1561662054,"This plate contains 0.3g pepper, 12.0g white rice, 75.3g mixed greens, 3.0g garlic, 4.8g soy sauce, 12.0g millet, 3.0g lemon juice, 12.0g bok choy, 11.4g olive oil, 6.0g onions, 3.0g vinegar, 39.0g green beans, 84.2g pork, 15.1g apple, 9.0g sugar, 1.0g salt, and 0.8g parsley. It provides approximately 419.4 kcal, 25.9g protein, 23.8g fat, and 26.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1561662054/rgb.png,419.4,25.9,23.8,26.4,"This plate contains 0.3g pepper, 12.0g white rice, 75.3g mixed greens, 3.0g garlic, 4.8g soy sauce, 12.0g millet, 3.0g lemon juice, 12.0g bok choy, 11.4g olive oil, 6.0g onions, 3.0g vinegar, 39.0g green beans, 84.2g pork, 15.1g apple, , , and 0.8g parsley."
dish_1562008979,"This plate contains 0.2g jalapenos, 1.5g lemon juice, 115.8g pork, 15.4g wheat berry, 15.4g cabbage, 0.4g pepper, 0.2g salt, 3.9g carrot, 1.5g garlic, 131.0g caesar salad, 0.8g olive oil, 0.8g parsley, and 3.1g mayonnaise. It provides approximately 382.9 kcal, 35.3g protein, 22.2g fat, and 10.2g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562008979/rgb.png,382.9,35.3,22.2,10.2,"This plate contains 0.2g jalapenos, 1.5g lemon juice, 115.8g pork, 15.4g wheat berry, 15.4g cabbage, 0.4g pepper, , 3.9g carrot, 1.5g garlic, 131.0g caesar salad, 0.8g olive oil, 0.8g parsley, and 3.1g mayonnaise."
dish_1560455030,"This plate contains 55.0g cherry tomatoes, 29.0g cucumbers, and 19.0g baby carrots. It provides approximately 20.6 kcal, 1.0g protein, 0.1g fat, and 4.6g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1560455030/rgb.png,20.6,1.0,0.1,4.6,"This plate contains 55.0g cherry tomatoes, 29.0g cucumbers, and 19.0g baby carrots."
dish_1558372433,"This plate contains 143.0g deprecated. It provides approximately 74.4 kcal, 20.0g protein, 0.3g fat, and 0.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1558372433/rgb.png,74.4,20.0,0.3,0.4,This plate contains 143.0g deprecated.
dish_1565640549,"This plate contains 10.7g tomatoes, 1.1g cilantro, 1.1g olive oil, 21.4g mustard greens, 1.6g lemon juice, 2.1g onions, 10.7g cucumbers, 0.1g salt, 32.1g arugula, 1.1g jalapenos, 34.0g asparagus, 1.6g lime, 10.7g mangos, and 10.7g cherry tomatoes. It provides approximately 45.5 kcal, 2.6g protein, 1.6g fat, and 7.0g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1565640549/rgb.png,45.5,2.6,1.6,7.0,"This plate contains 10.7g tomatoes, 1.1g cilantro, 1.1g olive oil, 21.4g mustard greens, 1.6g lemon juice, 2.1g onions, 10.7g cucumbers, , 32.1g arugula, 1.1g jalapenos, 34.0g asparagus, 1.6g lime, 10.7g mangos, and 10.7g cherry tomatoes."
dish_1563207364,"This plate contains 68.0g scrambled eggs, 50.0g yam, 30.0g grapes, 67.0g egg whites, 6.0g olive oil, and 50.0g sweet potato. It provides approximately 309.3 kcal, 15.0g protein, 13.8g fat, and 30.7g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563207364/rgb.png,309.3,15.0,13.8,30.7,"This plate contains 68.0g scrambled eggs, 50.0g yam, 30.0g grapes, 67.0g egg whites, 6.0g olive oil, and 50.0g sweet potato."
dish_1561575474,"This plate contains 0.6g salt, 57.8g eggplant, 60.0g roasted potatoes, 64.0g cauliflower, and 0.6g olive oil. It provides approximately 120.1 kcal, 3.0g protein, 5.0g fat, and 17.4g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1561575474/rgb.png,120.1,3.0,5.0,17.4,"This plate contains , 57.8g eggplant, 60.0g roasted potatoes, 64.0g cauliflower, and 0.6g olive oil."
dish_1563216717,"This plate contains 0.9g garlic, 63.1g squash, 4.5g cherry tomatoes, 89.5g chicken breast, 2.2g spinach (raw), 2.2g parmesan cheese, 9.0g wheat berry, 1.0g olive oil, 0.2g thyme, 30.0g honeydew melons, 0.3g salt, and 129.0g broccoli. It provides approximately 246.0 kcal, 33.1g protein, 5.6g fat, and 16.3g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563216717/rgb.png,246.0,33.1,5.6,16.3,"This plate contains 0.9g garlic, 63.1g squash, 4.5g cherry tomatoes, 89.5g chicken breast, 2.2g spinach (raw), 2.2g parmesan cheese, 9.0g wheat berry, 1.0g olive oil, 0.2g thyme, 30.0g honeydew melons, , and 129.0g broccoli."
dish_1565972591,"This plate contains 122.0g chicken apple sausage. It provides approximately 195.2 kcal, 17.1g protein, 12.2g fat, and 3.7g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1565972591/rgb.png,195.2,17.1,12.2,3.7,This plate contains 122.0g chicken apple sausage.
dish_1568649312,"This plate contains 78.0g berries. It provides approximately 44.5 kcal, 0.5g protein, 0.2g fat, and 10.9g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1568649312/rgb.png,44.5,0.5,0.2,10.9,This plate contains 78.0g berries.
dish_1562183096,"This plate contains 0.0g pepper, 2.4g chard, 1.0g blueberries, 75.0g mushroom, 0.5g vinegar, 13.5g arugula, 0.2g mustard, 1.9g olive oil, 0.5g walnuts, and 0.1g salt. It provides approximately 41.2 kcal, 2.8g protein, 2.6g fat, and 3.3g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1562183096/rgb.png,41.2,2.8,2.6,3.3,"This plate contains 0.0g pepper, 2.4g chard, 1.0g blueberries, 75.0g mushroom, 0.5g vinegar, 13.5g arugula, 0.2g mustard, 1.9g olive oil, 0.5g walnuts, and ."
dish_1563476551,"This plate contains 6.3g shallots, 208.9g salmon, 11.4g mushroom, 1.0g ginger, 69.3g squash, 51.0g brownies, 2.1g lemon juice, 3.1g sour cream, 0.3g lime, 7.8g garlic, 29.0g cheese pizza, 1.5g wine, 3.1g cream, 41.8g brown rice, 2.1g jalapenos, 18.1g spinach (raw), 76.3g beef, 61.0g pasta, 0.2g thyme, 2.1g olive oil, 69.3g broccoli, 11.8g onions, 69.3g zucchini, 0.6g salt, 2.1g cilantro, and 0.5g chili. It provides approximately 1116.4 kcal, 85.5g protein, 51.4g fat, and 74.7g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1563476551/rgb.png,1116.4,85.5,51.4,74.7,"This plate contains 6.3g shallots, 208.9g salmon, 11.4g mushroom, 1.0g ginger, 69.3g squash, 51.0g brownies, 2.1g lemon juice, 3.1g sour cream, 0.3g lime, 7.8g garlic, 29.0g cheese pizza, 1.5g wine, 3.1g cream, 41.8g brown rice, 2.1g jalapenos, 18.1g spinach (raw), 76.3g beef, 61.0g pasta, 0.2g thyme, 2.1g olive oil, 69.3g broccoli, 11.8g onions, 69.3g zucchini, , 2.1g cilantro, and 0.5g chili."
dish_1559844951,"This plate contains 36.0g almonds, and 86.0g potatoes. It provides approximately 274.3 kcal, 9.8g protein, 17.9g fat, and 22.8g carbohydrates.",/content/Nutrition5k_Dataset_Images_Unzipped/realsense_overhead/dish_1559844951/rgb.png,274.3,9.8,17.9,22.8,"This plate contains 36.0g almonds, and 86.0g potatoes."
